season,year,month,week,2yo,5yo,15yo,35to,65yo,max,min,hosp_rate,pollen
Summer,2014,Jan,1,5.1,1.4,1,1.2,1.7,22.675,14.3,low,0
Summer,2014,Jan,2,7,1.3,0.7,1.2,1.4,25.58571429,13.97142857,low,0
Summer,2014,Jan,3,7.5,1.6,0.8,1.1,1.9,34.62857143,20.74285714,low,0
Summer,2014,Jan,4,11.3,2.4,1,1.4,1.7,22.38571429,15.62857143,low,0
Summer,2014,Feb,5,14.7,3.3,1,1.1,1.1,29.47142857,17.28571429,low,0
Summer,2014,Feb,6,22.3,6.7,1,1.5,1.4,34.22857143,17.67142857,medium,0
Summer,2014,Feb,7,27.7,7.9,1.1,1.5,1.4,27.45714286,17.92857143,high,0
Summer,2014,Feb,8,28.4,6.9,1.5,1.3,1.4,22.88571429,14.92857143,high,0
Autumn,2014,Mar,9,24.4,5.5,1.4,1.5,1.9,23.21428571,14.01428571,high,0
Autumn,2014,Mar,10,19.6,5.9,1,1.3,1.6,24.12857143,15.47142857,medium,0
Autumn,2014,Mar,11,22.8,5.4,1.1,1.4,1.4,27.68571429,16.11428571,high,0
Autumn,2014,Mar,12,21.4,5.5,1.3,1.5,1.9,23.14285714,13.41428571,medium,0
Autumn,2014,Mar,13,26.1,6.4,1.3,1.3,1.9,22.22857143,13.94285714,high,0
Autumn,2014,Apr,14,30.3,6.7,1.6,1.4,2,24.87142857,16.47142857,high,0
Autumn,2014,Apr,15,19.9,6.1,1.3,1.6,1.7,21.38571429,15.37142857,medium,0
Autumn,2014,Apr,16,17.5,4.1,1.8,1.8,2,20.2,11.24285714,medium,0
Autumn,2014,Apr,17,15.3,4.1,1.5,1.8,2.5,18.67142857,11.2,medium,0
Autumn,2014,May,18,24.4,7.3,1.8,2,2.3,17.47142857,9.128571429,high,0
Autumn,2014,May,19,31.5,9.3,2,2.2,2.1,16.41428571,8.657142857,high,0
Autumn,2014,May,20,29.7,8.7,1.6,1.9,2.4,20.97142857,11.57142857,high,0
Autumn,2014,May,21,26.7,8.5,1.8,2,2.4,21.21428571,14.04285714,high,0
Winter,2014,Jun,22,27,8.5,2,1.9,2.4,19.1,10.77142857,high,0
Winter,2014,Jun,23,23.3,7.7,2,2.1,2.8,16.21428571,10.65714286,high,0
Winter,2014,Jun,24,22.4,7.3,2.2,2.4,3.1,16.38571429,8.957142857,high,0
Winter,2014,Jun,25,24.4,7.5,2.3,2.4,2.8,14.92857143,10.04285714,high,0
Winter,2014,Jun,26,18.9,7.5,2.2,2.3,2.7,15.05714286,9.228571429,medium,0
Winter,2014,Jul,27,20.5,4.9,2.1,2.6,3.2,13.64285714,8.628571429,medium,0
Winter,2014,Jul,28,15.5,3.6,1.9,2.7,3.2,13.72857143,8.828571429,medium,0
