pollen,station,datetime,week
0,Melbourne,03/10/2012,40
0,dummy,03/10/2012,40
0,dummy,04/10/2012,40
14,Melbourne,04/10/2012,40
0,dummy,05/10/2012,40
0,Melbourne,05/10/2012,40
0,Melbourne,06/10/2012,40
0,Melbourne,07/10/2012,41
0,Melbourne,08/10/2012,41
2,Melbourne,09/10/2012,41
7,Melbourne,10/10/2012,41
10,Melbourne,11/10/2012,41
2,Melbourne,12/10/2012,41
7,Melbourne,13/10/2012,41
14,Melbourne,14/10/2012,42
19,Melbourne,15/10/2012,42
14,Melbourne,16/10/2012,42
5,Melbourne,17/10/2012,42
0,dummy,18/10/2012,42
5,Melbourne,18/10/2012,42
10,Melbourne,19/10/2012,42
9,Melbourne,20/10/2012,42
5,Melbourne,21/10/2012,43
5,Melbourne,22/10/2012,43
17,Melbourne,23/10/2012,43
0,dummy,24/10/2012,43
54,Melbourne,24/10/2012,43
56,Melbourne,25/10/2012,43
5,Melbourne,26/10/2012,43
5,Melbourne,27/10/2012,43
8,Melbourne,28/10/2012,44
39,Melbourne,29/10/2012,44
66,Melbourne,30/10/2012,44
75,Melbourne,31/10/2012,44
31,Melbourne,01/11/2012,44
2,Melbourne,02/11/2012,44
7,Melbourne,03/11/2012,44
92,Melbourne,04/11/2012,45
0,dummy,05/11/2012,45
175,Melbourne,05/11/2012,45
119,Melbourne,06/11/2012,45
48,Melbourne,07/11/2012,45
41,Melbourne,08/11/2012,45
125,Melbourne,09/11/2012,45
7,Melbourne,10/11/2012,45
117,Melbourne,11/11/2012,46
117,Melbourne,11/11/2012,46
180,Melbourne,12/11/2012,46
22,Melbourne,13/11/2012,46
24,Melbourne,14/11/2012,46
66,Melbourne,15/11/2012,46
12,Melbourne,16/11/2012,46
0,dummy,17/11/2012,46
0,Melbourne,17/11/2012,46
22,Melbourne,18/11/2012,47
22,Melbourne,19/11/2012,47
0,dummy,20/11/2012,47
68,Melbourne,20/11/2012,47
0,dummy,20/11/2012,47
0,dummy,21/11/2012,47
46,Melbourne,21/11/2012,47
7,Melbourne,22/11/2012,47
15,Melbourne,23/11/2012,47
87,Melbourne,24/11/2012,47
73,Melbourne,25/11/2012,48
39,Melbourne,26/11/2012,48
0,dummy,27/11/2012,48
0,dummy,27/11/2012,48
44,Melbourne,27/11/2012,48
0,dummy,28/11/2012,48
87,Melbourne,28/11/2012,48
129,Melbourne,29/11/2012,48
94,Melbourne,30/11/2012,48
70,Melbourne,01/12/2012,48
82,Melbourne,02/12/2012,49
41,Melbourne,03/12/2012,49
48,Melbourne,04/12/2012,49
0,dummy,05/12/2012,49
13,Melbourne,05/12/2012,49
4,Melbourne,06/12/2012,49
57,Melbourne,07/12/2012,49
56,Melbourne,08/12/2012,49
26,Melbourne,09/12/2012,50
2,Melbourne,10/12/2012,50
0,dummy,10/12/2012,50
27,Melbourne,11/12/2012,50
24,Melbourne,12/12/2012,50
25,Melbourne,13/12/2012,50
2,Melbourne,14/12/2012,50
